Timestamp;HeartRate;LeftEyeGazeX;LeftEyeGazeY;LeftEyeGazeZ;LeftEyeGazeConfidence;LeftEyeOpenness;LeftEyeOpennessConfidence;LeftEyePupilDilation;LeftEyePupilDilationConfidence;LeftEyePupilPositionX;LeftEyePupilPositionY;RightEyeGazeX;RightEyeGazeY;RightEyeGazeZ;RightEyeGazeConfidence;RightEyeOpenness;RightEyeOpennessConfidence;RightEyePupilDilation;RightEyePupilDilationConfidence;RightEyePupilPositionX;RightEyePupilPositionY;CombinedGazeX;CombinedGazeY;CombinedGazeZ;CombinedGazeConfidence;CognitiveLoadValue;CognitiveLoadStandardDeviation1633433259;Heart Rate: (172)
1633433260;Heart Rate: (172)
1633433261;Heart Rate: (172)
1633433262;Heart Rate: (172)
1633433263;Heart Rate: (172)
1633433264;Heart Rate: (172)
1633433265;Heart Rate: (172)
1633433266;Heart Rate: (172)
1633433267;Heart Rate: (172)
1633433268;Heart Rate: (172)
1633433269;Heart Rate: (172)
1633433270;Heart Rate: (172)
1633433271;Heart Rate: (172)
1633433272;Heart Rate: (172)
1633433273;Heart Rate: (172)
